comment,Project ID,Project Name,Project Description,Project Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetrixCSV2.0_PROJECT,CSVImported_Folded_Project,Flat_Folded_Bound_Project_001,Mix of products,Test project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comment,Product Name,Required Quantity,Trim Width,Trim Height,Stock Vendor,Stock Name,Stock Weight,IGNORED,IGNORED,Priority,Top Offcut,Left Offcut ,Bottom Offcut,Right Offcut,Product MIS ID,Product Description,Product Notes,Product Due Date,Company Name,Contact First Name,Contact Family Name,Content File,PageColor Name Side 1,PageColor Name Side 2,Product Group Name,Finished Grain,Bleeds Top (From Page 1),Bleeds Left (From Page 1),Bleeds Bottom (From Page 1),Bleeds Right (From Page 1),Side 1 Folio,Side 2 Folio
MetrixCSV2.0_BOUND_SELF_COVER,BNC6,2000,5.75,8.25,House,House Stock - 100# Text,150,,64,16,Stitcher Trimmer,,,,MIS_ID_BOUND_6,Saddle-Stitched,note1,Due Date,Metrix Software,Peter,Impo,,,,"Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,1,F16-6,,1,HeadToJog,HeadToFoot,,
MetrixCSV2.0_BOUND_SELF_COVER,BNC7,2000,8.25,11,House,House Stock - 100# Text,150,,48,16,Stitcher Trimmer,,,,MIS_ID_BOUND_7,Saddle-Stitched,note2,Due Date,Metrix Software,Peter,Impo,,,,"Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,FC,F16-6,,,,,,
MetrixCSV2.0_BOUND_SELF_COVER,BNC8,2000,8.25,11,House,House Stock - 100# Text,150,,56,16,Stitcher Trimmer,,,,MIS_ID_BOUND_8,Saddle-Stitched,note3,Due Date,Metrix Software,Peter,Impo,,,,"Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,Page 1,F16-6,,,,,,
MetrixCSV2.0_BOUND_SELF_COVER,BNC9,10000,4.125,5.75,House,House Stock - 100# Text,150,,16,4,Stitcher Trimmer,,,,MIS_ID_BOUND_9,Saddle-Stitched,note4,Due Date,Metrix Software,Peter,Impo,,,,"Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,FC,,,,,,,
MetrixCSV2.0_BOUND_SELF_COVER,BNC10,10000,4.125,5.75,House,House Stock - 100# Text,150,,36,8,Stitcher Trimmer,,,,MIS_ID_BOUND_10,Saddle-Stitched,note5,Due Date,Metrix Software,Peter,Impo,,,,"Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,FC,,,,,,,
comment,Product Name,Required Quantity,Trim Width,Trim Height,Text Stock Vendor,Text Stock Name,Text Stock Weight,Cover Fold Catalog,Text Page Count,Largest Text Component,Binding Machine,Cover Stock Vendor,Cover Stock Name,Cover Stock Weight,Product MIS ID,Product Description,Product Notes,Product Due Date,Company Name,Contact First Name,Contact Family Name,Text Content File,PageColor Name Cover Side1,PageColor Name Cover Side2,PageColor Name Text,Finished Grain Cover,Bleeds Top (From Page 1),Bleeds Left (From Page 1),Bleeds Bottom (From Page 1),Bleeds Right (From Page 1),Folio Pattern,Text Folds,Combine Pages,Binding Number Up,1st-Up Content Orientation,N-Up Content Orientation,Finished Grain Text,Cover Content File
MetrixCSV2.0_BOUND_WITH_COVER,BWC1,1000,5.75,8.25,House,House Stock - 100# Text,150,F4-1,64,16,Stitcher Trimmer,House,House Stock - 90# Cover,245,MIS_ID_BOUND_11,Saddle-Stitched,note1,Due Date,Metrix Software,Frank,Romano,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,FC,F16-6,,,HeadToJog,HeadToFoot,,
MetrixCSV2.0_BOUND_WITH_COVER,BWC2,1000,5.75,8.25,House,House Stock - 100# Text,150,F4-1,48,8,Stitcher Trimmer,House,House Stock - 90# Cover,245,MIS_ID_BOUND_12,Saddle-Stitched,note2,Due Date,Metrix Software,Frank,Romano,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",Black,,0.125,0.125,0.125,0.125,FC,,,,,,,
MetrixCSV2.0_BOUND_WITH_COVER,BWC3,1000,5.75,8.25,House,House Stock - 100# Text,150,F6-1,56,16,Stitcher Trimmer,House,House Stock - 90# Cover,245,MIS_ID_BOUND_13,Saddle-Stitched,note3,Due Date,Metrix Software,Frank,Romano,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",Black,,0.125,0.125,0.125,0.125,FC,F16-6,,,,,,
MetrixCSV2.0_BOUND_WITH_COVER,BWC4,1000,8.25,11,House,House Stock - 100# Text,150,F8-4,44,8,Stitcher Trimmer,House,House Stock - 90# Cover,245,MIS_ID_BOUND_14,Saddle-Stitched,note4,Due Date,Metrix Software,Frank,Romano,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,FC,,,,,,,
MetrixCSV2.0_BOUND_WITH_COVER,BWC5,2000,5.75,8.25,House,House Stock - 100# Text,150,F4-1,32,8,Stitcher Trimmer,House,House Stock - 90# Cover,245,MIS_ID_BOUND_15,Saddle-Stitched,note5,Due Date,Metrix Software,Frank,Romano,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,FC,,,,,,,
MetrixCSV2.0_BOUND_WITH_COVER,BWC6,2000,5.75,8.25,House,House Stock - 100# Text,150,F4-1,64,16,Perfect Binder,House,House Stock - 90# Cover,245,MIS_ID_BOUND_16,Perfect Bound,note1,Due Date,Metrix Software,Frank,Romano,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",Black,,0.125,0.125,0.125,0.125,FC,F16-6,,,HeadToJog,HeadToFoot,,
MetrixCSV2.0_BOUND_WITH_COVER,BWC7,2000,8.25,11,House,House Stock - 100# Text,150,F8-4,48,12,Perfect Binder,House,House Stock - 90# Cover,245,MIS_ID_BOUND_17,Perfect Bound,note2,Due Date,Metrix Software,Andy,Tribute,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,FC,,,,,,,
MetrixCSV2.0_BOUND_WITH_COVER,BWC8,5000,5.75,8.25,House,House Stock - 100# Text,150,F8-4,56,4,Perfect Binder,House,House Stock - 90# Cover,245,MIS_ID_BOUND_18,Perfect Bound,note3,Due Date,Metrix Software,Andy,Tribute,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,FC,,,,,,,
MetrixCSV2.0_BOUND_WITH_COVER,BWC9,5000,5.75,8.25,House,House Stock - 100# Text,150,F6-5,20,4,Perfect Binder,House,House Stock - 90# Cover,245,MIS_ID_BOUND_19,Perfect Bound,note4,Due Date,Metrix Software,Andy,Tribute,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",Black,,0.125,0.125,0.125,0.125,FC,,,,,,,
MetrixCSV2.0_BOUND_WITH_COVER,BWC10,10000,8.25,11,House,House Stock - 100# Text,150,F4-1,44,16,Perfect Binder,House,House Stock - 90# Cover,245,MIS_ID_BOUND_20,Perfect Bound,note5,Due Date,Metrix Software,Andy,Tribute,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",Black,,0.125,0.125,0.125,0.125,FC,F16-6,,,,,,
